"","AU","AF","TI","SO","LA","DE","ID","Z9","U1","U2","PU","PY","DI","WC","ANIMAL","FMRI_AB","JOUR","IF"
"1","Jarso, S; Li, MW; Faria, A; Davis, C; Leigh, R; Sebastian, R; Tsapkini, K; Mori, S; Hillis, AE","Jarso, Samson; Li, Muwei; Faria, Andreia; Davis, Cameron; Leigh, Richard; Sebastian, Rajani; Tsapkini, Kyrana; Mori, Susumu; Hillis, Argye E.","Distinct mechanisms and timing of language recovery after stroke","COGNITIVE NEUROPSYCHOLOGY","English","","",20,0,14,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2014.881334","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"2","Gordon, JK; Cheimariou, S","Gordon, Jean K.; Cheimariou, Spyridoula","Semantic interference in a randomized naming task: Effects of age, order, and category","COGNITIVE NEUROPSYCHOLOGY","English","Aphasia; Functional magnetic resonance imaging; Stroke; Recovery; Language","POSITRON-EMISSION-TOMOGRAPHY; TRANSCRANIAL MAGNETIC STIMULATION; POSTSTROKE APHASIA; CORTICAL HYPOPERFUSION; HEMODYNAMIC-RESPONSE; SUBACUTE STROKE; PET ACTIVATION; RECOVERY; LANGUAGE; BRAIN",2,0,18,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2013.875467","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"3","Papagno, C; Mattavelli, G; Cattaneo, Z; Romito, L; Albanese, A","Papagno, Costanza; Mattavelli, Giulia; Cattaneo, Zaira; Romito, Luigi; Albanese, Alberto","Ambiguous idiom processing in Parkinson's disease patients","COGNITIVE NEUROPSYCHOLOGY","English","Word retrieval; Lexical access; Picture naming; Ageing; Semantic interference","SENTENCE COMPREHENSION; COGNITIVE IMPAIRMENT; NORMATIVE DATA; ACTION VERBS; DOPAMINE; STIMULATION; EXPRESSIONS; INVOLVEMENT; DEMENTIA; SYSTEM",2,0,13,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2013.877437","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"4","Speer, P; Wilshire, CE","Speer, Paula; Wilshire, Carolyn E.","What's in a sentence? The crucial role of lexical content in sentence production in nonfluent aphasia","COGNITIVE NEUROPSYCHOLOGY","English","Action verbs; Idiomatic sentences; Parkinson's disease; Prefrontal cortex","PARKINSONS-DISEASE PATIENTS; IDIOM COMPREHENSION; COGNITIVE IMPAIRMENT; NORMATIVE DATA; ACTION VERBS; DOPAMINE; STIMULATION; EXPRESSIONS; INVOLVEMENT; DEMENTIA",2,0,18,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2013.876397","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"5","Verhaegen, C; Piertot, F; Poncelet, M","Verhaegen, Clemence; Piertot, Florence; Poncelet, Martine","Dissociable components of phonological and lexical-semantic short-term memory and their relation to impaired word production in aphasia","COGNITIVE NEUROPSYCHOLOGY","English","Aphasia; Nonfluent aphasia; Broca's aphasia; Sentence production; Lexical retrieval; Lexical competition","VERBAL WORKING-MEMORY; SPEECH PRODUCTION; SERIAL ORDER; DEEP DYSPHASIA; LANGUAGE IMPAIRMENT; DEMENTIA; ACQUISITION; FRENCH; AGE; INFORMATION",2,1,18,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2013.876398","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"6","Goral, M; Naghibolhosseini, M; Conner, PS","Goral, Mira; Naghibolhosseini, Maryam; Conner, Peggy S.","Asymmetric inhibitory treatment effects in multilingual aphasia","COGNITIVE NEUROPSYCHOLOGY","English","Aphasia; Verbal short-term memory; Phonological short-term memory; Lexical-semantic short-term memory; Word production impairment","SHORT-TERM-MEMORY; VERBAL WORKING-MEMORY; SEMANTIC DEMENTIA; SERIAL ORDER; SPEECH PRODUCTION; WORD PRODUCTION; DEEP DYSPHASIA; LANGUAGE IMPAIRMENT; RELATIVE IMPORTANCE; ACQUISITION",3,5,20,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2014.884058","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"7","Druks, J; Weekes, BS","Druks, Judit; Weekes, Brendan Stuart","Parallel deterioration to language processing in a bilingual speaker","COGNITIVE NEUROPSYCHOLOGY","English","Aphasia; Bilingual; Treatment; Inhibition; Asymmetry","HIGHLY PROFICIENT BILINGUALS; SEMANTIC NAMING TREATMENT; LEXICAL ACCESS; INHIBITORY PROCESSES; TRILINGUAL APHASIA; SPEECH PRODUCTION; SPANISH-ENGLISH; THERAPY; SELECTION; STROKE",1,5,28,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2013.878692","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"8","Fischer-Baum, S","Fischer-Baum, Simon","Making sense of deviance: Identifying dissociating cases within the case series approach","COGNITIVE NEUROPSYCHOLOGY","English","Cognitive neuropsychology; Outlier detection; Case series; Single-case studies; Associations and dissociations","COGNITIVE NEUROPSYCHOLOGY; MODEL EVALUATION; PERSEVERATION; SCHWARTZ; LESSONS; POINT; TESTS",1,0,4,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2013,"10.1080/02643294.2013.846903","Psychology; Psychology, Experimental",FALSE,FALSE,"COGNITIVE_NEUROPSYC",1.964
"9","Cheng, JT; Tracy, JL; Miller, GE","Cheng, Joey T.; Tracy, Jessica L.; Miller, Gregory E.","Are Narcissists Hardy or Vulnerable? The Role of Narcissism in the Production of Stress-Related Biomarkers in Response to Emotional Distress","EMOTION","English","narcissism; cortisol; alpha-amylase; health; negative emotions","SALIVARY ALPHA-AMYLASE; SELF-ESTEEM; PERSONALITY-INVENTORY; THREATENED EGOTISM; CONSTRUCT-VALIDITY; CORTISOL SECRETION; NEGATIVE AFFECT; AGGRESSION; REACTIVITY; STATE",9,0,13,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0034410","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"10","Miu, AC; Vulturar, R; Chis, A; Ungureanu, L; Gross, JJ","Miu, Andrei C.; Vulturar, Romana; Chis, Adina; Ungureanu, Loredana; Gross, James J.","Reappraisal as a Mediator in the Link Between 5-HTTLPR and Social Anxiety Symptoms","EMOTION","English","5-HTTLPR; emotion regulation; social anxiety; cognitive reappraisal; serotonin","SEROTONIN TRANSPORTER GENE; OBSESSIVE-COMPULSIVE DISORDER; EMOTION-REGULATION; POLYMORPHISM 5-HTTLPR; PSYCHIATRIC-DISORDERS; DEPRESSIVE-DISORDERS; REUPTAKE INHIBITORS; AMYGDALA ACTIVITY; PROMOTER GENE; YOUNG-ADULTS",8,1,15,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033383","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
