"","journal","abrev"
"1","ACTA PSYCHOLOGICA","ACTA_PSYC"
"2","ADDICTIVE BEHAVIORS","ADDICTIVE_BEHAV"
"3","AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE","AMER_JOUR_OF_DRUG_AND_ALC_ABUSE"
"4","AUTISM RESEARCH","AUTISM_RESEARCH"
"5","BEHAVIOR RESEARCH METHODS","BEHAVIOR_RESEARCH_METHODS"
"6","BILINGUALISM-LANGUAGE AND COGNITION","BILINGUALISM_LANG_AND_COG"
"7","BIOLOGICAL PSYCHOLOGY","BIOLOGICAL_PSYCHOLOGY"
"8","BRAIN AND COGNITION","BRAIN_AND_COG"
"9","BRAIN AND LANGUAGE","BRAIN_AND_LANG"
"10","COGNITION","COGNITION"
"11","COGNITIVE NEUROPSYCHOLOGY","COGNITIVE_NEUROPSYC"
"12","CONSCIOUSNESS AND COGNITION","CONSCIOUSNESS_AND_COGNITION"
"13","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE"
"14","DEPRESSION AND ANXIETY","DEPRESSION_AND_ANXIETY"
"15","DEVELOPMENTAL NEUROPSYCHOLOGY","DEVELOPMENTAL_NEUROPSYCHOLOGY"
"16","DEVELOPMENTAL SCIENCE","DEVELOPMENTAL_SCIENCE"
"17","EMOTION","EMOTION"
"18","FRONTIERS IN HUMAN NEUROSCIENCE","FRONTIERS_IN_HUMAN_NEUROSCIENCE"
"19","FRONTIERS IN PSYCHOLOGY","FRONTIERS_IN_PSYC"
"20","INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","INTERNATIONAL_JOURNAL_OF_PSYCHOPHYSIOLOGY"
"21","JOURNAL OF ABNORMAL PSYCHOLOGY","JOURNAL_OF_ABNORMAL_PSYCHOLOGY"
"22","JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS","JOURNAL_OF_AUTISM_AND_DEVELOPMENTAL_DISORDERS"
"23","JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","JOURNAL_OF_CHILD_PSYCHOLOGY_AND_PSYCHIATRY"
"24","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY"
"25","JOURNAL OF COGNITIVE NEUROSCIENCE","JOURNAL_OF_COGNITIVE_NEUROSCIENCE"
"26","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL","JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY_GENERAL"
"27","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION","JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY_LEARNING_MEMORY_AND_COGNITION"
"28","JOURNAL OF NEUROLINGUISTICS","JOURNAL_OF_NEUROLINGUISTICS"
"29","JOURNAL OF PSYCHOPHYSIOLOGY","JOURNAL_OF_PSYCHOPHYSIOLOGY"
"30","JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","JOURNAL_OF_THE_AMERICAN_ACADEMY_OF_CHILD_AND_ADOLESCENT_PSYCHIATRY"
"31","JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY","JOURNAL_OF_THE_INTERNATIONAL_NEUROPSYCHOLOGICAL_SOCIETY"
"32","LATERALITY","LATERALITY"
"33","LEARNING & MEMORY","LEARNING_AND_MEMORY"
"34","NEUROBIOLOGY OF LEARNING AND MEMORY","NEUROBIOLOGY_OF_LEARNING_AND_MEMORY"
"35","NEUROCASE","NEUROCASE"
"36","NEUROPSYCHOBIOLOGY","NEUROPSYCHOBIOLOGY"
"37","NEUROPSYCHOLOGIA","NEUROPSYCHOLOGIA"
"38","NEUROPSYCHOLOGY","NEUROPSYCHOLOGY"
"39","PERCEPTION","PERCEPTION"
"40","PERSPECTIVES ON PSYCHOLOGICAL SCIENCE","PERSPECTIVES_ON_PSYCHOLOGICAL_SCIENCE"
"41","PHYSIOLOGY & BEHAVIOR","PHYSIOLOGY_AND_BEHAVIOR"
"42","PSYCHOLOGICAL MEDICINE","PSYC_SCI"
"43","PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG","PSYCHOLOGICAL_MEDICINE"
"44","PSYCHOLOGICAL SCIENCE","PSYCHOLOGICAL_RESEARCH_PSYCHOLOGISCHE_FORSCHUNG"
"45","PSYCHOPHYSIOLOGY","PSYCHOPHYSIOLOGY"
"46","PSYCHOSOMATIC MEDICINE","PSYCHOSOMATIC_MEDICINE"
"47","QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY","QUARTERLY_JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY"
"48","SCANDINAVIAN JOURNAL OF PSYCHOLOGY","SCANDINAVIAN_JOURNAL_OF_PSYCHOLOGY"
"49","SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE","SOCIAL_COG_AND_AFF_NEURO"
"50","SOCIAL NEUROSCIENCE","SOCIAL_NEURO"
