"","AU","AF","TI","SO","LA","DE","ID","Z9","U1","U2","PU","PY","DI","WC","ANIMAL","FMRI_AB","JOUR","IF"
"4","Gast, A; Langer, S; Sengewald, MA","Gast, Anne; Langer, Sebastian; Sengewald, Marie-Ann","Evaluative conditioning increases with temporal contiguity. The influence of stimulus order and stimulus interval on evaluative conditioning","ACTA PSYCHOLOGICA","English","Evaluative conditioning; Stimulus order; Stimulus interval; Cross-modal presentation","PICTURE-PICTURE PARADIGM; CONTINGENCY AWARENESS; ATTITUDES; MISATTRIBUTION; ASSOCIATIONS; INFORMATION; EXTINCTION; RESPONSES; BACKWARD; DEPEND",1,0,7,"ELSEVIER SCIENCE BV",2016,"10.1016/j.actpsy.2016.07.002","Psychology, Experimental",FALSE,FALSE,"ACTA_PSYC",2.031
"5","Endress, AD; Siddique, A","Endress, Ansgar D.; Siddique, Aneela","The cost of proactive interference is constant across presentation conditions","ACTA PSYCHOLOGICA","English","Working memory; Proactive interference; Verbal memory; Memory capacity","WORKING-MEMORY CAPACITY; SHORT-TERM-MEMORY; GENERAL FLUID INTELLIGENCE; LATENT-VARIABLE APPROACH; NEURAL MECHANISMS; VISUAL MEMORY; EXECUTIVE ATTENTION; CONCEPTUAL MEMORY; FALSE RECOGNITION; STORAGE CAPACITY",1,0,9,"ELSEVIER SCIENCE BV",2016,"10.1016/j.actpsy.2016.08.001","Psychology, Experimental",FALSE,FALSE,"ACTA_PSYC",2.031
"7","Battaglini, L; Contemori, G; Maniglia, M; Casco, C","Battaglini, Luca; Contemori, Giulio; Maniglia, Marcello; Casco, Clara","Fast moving texture has opposite effects on the perceived speed of visible and occluded object trajectories","ACTA PSYCHOLOGICA","English","Motion; Invisible motion; Perceived speed; Texture; Surround motion","TIME-TO-CONTACT; VISUAL AREA MT; MOTION EXTRAPOLATION; EYE-MOVEMENTS; PREDICTION MOTION; PERCEPTION; ADAPTATION; ACCURACY; VELOCITY; TARGET",1,0,3,"ELSEVIER SCIENCE BV",2016,"10.1016/j.actpsy.2016.08.007","Psychology, Experimental",FALSE,FALSE,"ACTA_PSYC",2.031
"8","Greene, E","Greene, Ernest","Information persistence evaluated with low-density dot patterns","ACTA PSYCHOLOGICA","English","Pattern recognition; Visible persistence; Information persistence","SHORT-TERM-MEMORY; INFERIOR TEMPORAL CORTEX; VISUAL WORKING-MEMORY; CONE PHOTORECEPTORS; STRIATE CORTEX; GANGLION-CELLS; ICONIC MEMORY; LETTER IDENTIFICATION; MACACA-FASCICULARIS; RECEPTIVE-FIELDS",1,2,5,"ELSEVIER SCIENCE BV",2016,"10.1016/j.actpsy.2016.08.005","Psychology, Experimental",FALSE,FALSE,"ACTA_PSYC",2.031
"10","Valdesolo, P; Park, J; Gottlieb, S","Valdesolo, Piercarlo; Park, Jun; Gottlieb, Sara","Awe and Scientific Explanation","EMOTION","English","awe; religion; science; explanation","COMPENSATORY CONTROL; EVOLUTION; BELIEFS; ORDER; MIND; GOD",2,5,19,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000213","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"12","Hoorelbeke, K; Koster, EHW; Demeyer, I; Loeys, T; Vanderhasselt, MA","Hoorelbeke, Kristof; Koster, Ernst H. W.; Demeyer, Ineke; Loeys, Tom; Vanderhasselt, Marie-Anne","Effects of Cognitive Control Training on the Dynamics of (Mal) Adaptive Emotion Regulation in Daily Life","EMOTION","English","positive reappraisal; rumination; resilience; cognitive control; training","DEPRESSIVE SYMPTOMS; INDIVIDUAL-DIFFERENCES; CONTROLLED-TRIAL; POSITIVE AFFECT; NEGATIVE AFFECT; WORKING-MEMORY; RUMINATION; REAPPRAISAL; INTERFERENCE; STRESS",3,10,39,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000169","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"14","Haase, CM; Holley, SR; Bloch, L; Verstaen, A; Levenson, RW","Haase, Claudia M.; Holley, Sarah R.; Bloch, Lian; Verstaen, Alice; Levenson, Robert W.","Interpersonal Emotional Behaviors and Physical Health: A 20-Year Longitudinal Study of Long-Term Married Couples","EMOTION","English","interpersonal emotional behavior; marriage; physical health; relationships","CORONARY-ARTERY-DISEASE; NERVOUS-SYSTEM ACTIVITY; HEART-DISEASE; CARDIOVASCULAR-DISEASE; MARITAL SATISFACTION; PSYCHOSOCIAL FACTORS; RISK-FACTORS; HOSTILITY; PERSONALITY; MECHANISMS",3,10,19,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/a0040239","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"15","Amir, I; Zvielli, A; Bernstein, A","Amir, Iftach; Zvielli, Ariel; Bernstein, Amit","(De)Coupling of Our Eyes and Our Mind's Eye: A Dynamic Process Perspective on Attentional Bias","EMOTION","English","anxiety; attention bias; control; emotional attention; eye tracking","DOT-PROBE TASK; SELECTIVE ATTENTION; FACIAL EXPRESSIONS; SOCIAL ANXIETY; MECHANISMS; MOVEMENTS; THREAT; DIFFICULTY; PARADIGM; TRACKING",3,4,20,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000172","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"17","Brooker, RJ; Kiel, EJ; Buss, KA","Brooker, Rebecca J.; Kiel, Elizabeth J.; Buss, Kristin A.","Early Social Fear Predicts Kindergarteners' Socially Anxious Behaviors: Direct Associations, Moderation by Inhibitory Control, and Differences From Nonsocial Fear","EMOTION","English","social fear; nonsocial fear; inhibitory control; social anxiety risk","YOUNG-CHILDREN; INDIVIDUAL-DIFFERENCES; EFFORTFUL CONTROL; ANXIETY DISORDER; MIDDLE CHILDHOOD; SELF-REGULATION; TEMPERAMENT; TODDLER; RISK; QUESTIONNAIRE",3,2,13,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000135","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"20","Immordino-Yang, MH; Yang, XF; Damasio, H","Immordino-Yang, Mary Helen; Yang, Xiao-Fei; Damasio, Hanna","Cultural Modes of Expressing Emotions Influence How Emotions Are Experienced","EMOTION","English","East-West differences; subjective affect; insula; development; mental health","DISPLAY RULES; INTEROCEPTION; SELF; INSULA; WORLD",3,3,18,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000201","Psychology, Experimental",FALSE,TRUE,"EMOTION",3.251
